,timestamp,elapsedtime,x,y,description,Unnamed: 5,Unnamed: 6,r1_focusedAttention,r2_focusedAttention,focusedAttention,r1_clearGoals,r2_clearGoals,clearGoals,r1_clearCutFeedback,r2_clearCutFeedback,clearCutFeedback,r1_pleasure,r2_pleasure,pleasure,allEngagement
0,2 Aug 2021 9:30:18pm:950,572000,362,17,dynamics tab selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2 Aug 2021 9:30:21pm:62,573800,440,16,pitch tab selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2 Aug 2021 9:30:38pm:758,588300,290,16,time tab selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2 Aug 2021 9:30:42pm:95,589500,234,17,instrument tab selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2 Aug 2021 9:30:53pm:78,595400,91,353,trumpet block added,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2 Aug 2021 9:30:58pm:22,597400,169,16,basic tab selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2 Aug 2021 9:31:05pm:206,601600,343,304,twofourbar block added,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2 Aug 2021 9:31:17pm:339,604000,302,285,note picker plus selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2 Aug 2021 9:31:18pm:142,609500,337,333,added a crotchet note,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2 Aug 2021 9:31:44pm:497,612200,145,347,twofourbar start drag,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2 Aug 2021 9:31:45pm:595,612900,144,345,twofourbar end drag,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2 Aug 2021 9:31:48pm:972,613700,140,341,trumpet start drag,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2 Aug 2021 9:31:49pm:755,616800,226,312,trumpet end drag,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2 Aug 2021 9:31:49pm:755,616800,226,312,connection made between trumpet and twofourbar,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2 Aug 2021 9:31:58pm:482,622200,594,334,threefourbar block added,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2 Aug 2021 9:32:04pm:715,624000,521,318,note picker plus selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2 Aug 2021 9:32:05pm:423,626400,554,332,added a minim note,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2 Aug 2021 9:32:11pm:572,627500,489,305,threefourbar start drag,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2 Aug 2021 9:32:12pm:257,627500,570,279,threefourbar end drag,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2 Aug 2021 9:32:16pm:564,628700,557,280,threefourbar start drag,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2 Aug 2021 9:32:17pm:114,629400,448,276,threefourbar end drag,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2 Aug 2021 9:32:17pm:114,629400,448,276,connection made between twofourbar and threefourbar,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2 Aug 2021 9:32:22pm:89,632300,741,464,fourfourbar block added,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2 Aug 2021 9:32:27pm:18,634000,585,499,fourfourbar start drag,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2 Aug 2021 9:32:29pm:698,635200,694,312,fourfourbar end drag,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2 Aug 2021 9:32:29pm:698,635200,694,312,connection made between threefourbar and fourfourbar,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2 Aug 2021 9:32:34pm:765,636600,426,20,pitch tab selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2 Aug 2021 9:32:40pm:841,637700,354,12,dynamics tab selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2 Aug 2021 9:32:42pm:85,639300,303,19,time tab selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2 Aug 2021 9:32:54pm:676,645000,489,496,tempochanger block added,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2 Aug 2021 9:33:01pm:547,646400,442,528,tempochanger start drag,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2 Aug 2021 9:33:08pm:905,649400,323,329,tempochanger end drag,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2 Aug 2021 9:33:08pm:906,649400,323,329,connection made between tempochanger and threefourbar,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2 Aug 2021 9:33:13pm:929,650900,388,269,tempochanger slider incremented,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2 Aug 2021 9:33:21pm:690,653000,317,263,tempochanger start drag,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2 Aug 2021 9:33:22pm:601,654900,430,272,tempochanger end drag,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2 Aug 2021 9:33:22pm:602,654900,430,272,connection made between twofourbar and tempochanger,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2 Aug 2021 9:33:22pm:602,654900,430,272,connection made between tempochanger and threefourbar,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2 Aug 2021 9:33:25pm:993,656400,500,276,tempochanger slider incremented,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2 Aug 2021 9:33:26pm:160,656600,500,276,tempochanger slider incremented,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2 Aug 2021 9:33:26pm:317,656800,500,276,tempochanger slider incremented,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2 Aug 2021 9:33:26pm:714,656900,500,276,tempochanger slider incremented,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2 Aug 2021 9:33:30pm:392,657100,501,277,tempochanger slider incremented,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2 Aug 2021 9:33:37pm:794,661000,1186,347,endrepeat block added,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2 Aug 2021 9:33:43pm:250,661900,1141,387,endrepeat start drag,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2 Aug 2021 9:33:43pm:705,664400,1132,333,endrepeat end drag,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,2 Aug 2021 9:33:43pm:705,664400,1132,333,connection made between fourfourbar and endrepeat,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,2 Aug 2021 9:34:00pm:900,673800,169,19,basic tab selected,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
48,2 Aug 2021 9:34:09pm:637,678400,1102,527,fivefourbar block added,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2 Aug 2021 9:34:15pm:506,680000,916,556,fivefourbar start drag,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2 Aug 2021 9:34:16pm:824,681600,1244,336,fivefourbar end drag,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51,2 Aug 2021 9:34:16pm:825,681600,1244,336,connection made between endrepeat and fivefourbar,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
